,genre_ids,original_language,popularity,title,vote_average,vote_count
8189,"['Drama', 'Romance', 'Thriller']",en,7.296,Kill Your Darlings,7.2,847
273,"['Drama', 'Action']",no,7.616,King of Devil's Island,7.3,96
20641,"['Action', 'Adventure', 'Comedy']",en,24.337,Kingsman: The Golden Circle,7.0,5531
14181,"['Crime', 'Comedy', 'Action', 'Adventure']",en,26.103,Kingsman: The Secret Service,7.6,10287
20860,"['Music', 'Drama', 'Romance']",en,10.016,Kiss and Cry,7.5,222
17735,"['Mystery', 'Animation', 'Fantasy', 'Horror']",ja,7.793,Kizumonogatari Part 1: Tekketsu,7.9,49
21124,"['Animation', 'Fantasy', 'Mystery']",ja,7.101,Kizumonogatari Part 2: Nekketsu,8.4,38
21076,"['Animation', 'Fantasy', 'Mystery']",ja,7.53,Kizumonogatari Part 3: Reiketsu,8.5,34
8073,"['Adventure', 'History']",en,8.849,Kon-Tiki,7.0,353
17472,"['Animation', 'Adventure', 'Family']",en,13.847,Kubo and the Two Strings,7.7,2029
6161,['Documentary'],en,1.816,Kumaré,7.2,36
14434,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",en,8.059,Kung Fury,7.5,1146
17760,"['Family', 'Adventure', 'Animation', 'Action']",en,7.534,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,7.4,38
20688,"['Comedy', 'Drama', 'Romance']",en,16.275,La La Land,7.9,10028
5461,"['Animation', 'Family']",en,7.165,La Luna,8.0,389
14566,"['Drama', 'History']",de,6.799,Labyrinth of Lies,7.2,343
20690,"['Comedy', 'Drama']",en,15.974,Lady Bird,7.3,3866
3108,['Music'],en,3.635,Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden,8.9,46
17694,"['Drama', 'History', 'War', 'Thriller']",da,8.268,Land of Mine,7.8,676
12128,"['War', 'Documentary']",en,2.037,Last Days in Vietnam,7.6,45
24933,"['Animation', 'Drama']",en,3.702,Late Afternoon,7.7,40
8146,"['Drama', 'Romance']",fr,7.662,Laurence Anyways,7.8,364
14383,"['Animation', 'Family']",en,8.878,Lava,7.4,630
5268,"['Crime', 'Drama']",en,12.147,Lawless,7.0,1660
12504,"['Documentary', 'Music']",en,1.365,Leave the World Behind,7.3,31
8925,['Drama'],ru,2.017,Legend No. 17,7.3,58
608,"['Documentary', 'Music']",en,3.047,Lemmy,7.4,51
18008,['Music'],en,5.497,Lemonade,8.7,83
2669,"['Drama', 'Comedy']",en,9.053,Lemonade Mouth,7.2,485
5295,"['History', 'Drama']",en,10.458,Les Misérables,7.4,3283
11117,['Drama'],ru,12.151,Leviathan,7.5,382
963,['Documentary'],en,1.726,Life Cycles,8.6,31
24080,"['Drama', 'Romance']",en,11.86,Life Itself,7.1,107
2930,"['Documentary', 'Drama']",en,5.818,Life in a Day,7.3,116
5223,"['Adventure', 'Drama', 'Action']",en,15.0,Life of Pi,7.3,8723
17947,['Documentary'],en,5.98,"Life, Animated",7.8,76
11312,['Drama'],ja,7.902,"Like Father, Like Son",7.5,234
8175,['Drama'],ja,7.426,Like Someone in Love,7.3,93
14795,"['Drama', 'Music']",en,4.883,"Like Sunday, Like Rain",7.5,56
11645,['Drama'],en,4.904,Lilting,7.2,69
2479,"['Thriller', 'Mystery', 'Science Fiction']",en,19.453,Limitless,7.1,6295
17429,['Drama'],en,17.216,Lion,8.1,3833
14799,['Documentary'],en,4.799,Listen to Me Marlon,7.5,73
467,"['Drama', 'Music', 'Romance']",en,4.602,Listen to Your Heart,7.6,59
14698,"['Comedy', 'Drama', 'War']",en,5.805,Little Boy,7.0,292
20620,"['Action', 'Drama', 'Science Fiction']",en,45.0,Logan,7.8,12330
7923,"['Action', 'Drama', 'War']",en,15.404,Lone Survivor,7.4,2289
21338,['Documentary'],en,5.034,Long Shot,7.2,39
17809,"['Comedy', 'Drama', 'Romance']",en,7.073,Looking: The Movie,7.4,126
225,"['Comedy', 'Drama', 'Romance']",it,8.202,Loose Cannons,7.4,310
21163,"['Family', 'Fantasy', 'Animation']",en,6.849,Lou,7.8,157
21130,['Comedy'],en,7.059,Louis C.K. 2017,7.4,131
203,['Comedy'],en,8.504,Louis C.K.: Hilarious,8.0,127
14640,"['Comedy', 'Documentary']",en,6.217,Louis C.K.: Live at The Comedy Store,7.5,91
2843,['Comedy'],en,6.863,Louis C.K.: Live at the Beacon Theater,8.1,120
8229,['Comedy'],en,6.887,Louis C.K.: Oh My God,7.6,96
14317,"['Drama', 'Music']",en,10.103,Love & Mercy,7.2,363
11129,"['Comedy', 'Romance']",en,11.338,"Love, Rosie",7.8,3594
23970,"['Comedy', 'Drama', 'Romance']",en,15.608,"Love, Simon",8.2,3165
20857,"['Animation', 'Drama', 'Mystery']",en,10.025,Loving Vincent,8.2,1200
18319,"['Action', 'Comedy']",ko,2.691,Luck-Key,7.0,32
20965,['Drama'],en,8.589,Lucky,7.5,212
21061,"['Science Fiction', 'Animation', 'Action', 'Crime']",fr,7.643,MFKZ,7.1,81
14177,"['Action', 'Adventure', 'Science Fiction']",en,28.099,Mad Max: Fury Road,7.4,14454
2927,"['Drama', 'TV Movie']",en,5.836,Magic Beyond Words: The JK Rowling Story,7.1,110
14573,"['Drama', 'Thriller']",es,6.741,Magical Girl,7.5,95
8823,"['Adventure', 'Documentary']",en,2.257,Maidentrip,7.4,33
11054,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",en,19.274,Maleficent,7.0,8143
23969,"['Comedy', 'Romance']",en,15.72,Mamma Mia! Here We Go Again,7.2,1722
17436,['Drama'],en,16.638,Manchester by the Sea,7.5,3176
21220,['Drama'],en,6.154,Manifesto,7.4,76
673,"['Drama', 'Romance']",en,2.681,Mao's Last Dancer,7.0,45
24096,"['Animation', 'Drama', 'Fantasy']",ja,11.298,Maquia: When the Promised Flower Blooms,7.0,67
14789,"['Action', 'History', 'Drama']",ru,4.971,Marco Polo: One Hundred Eyes,7.2,58
15318,['Drama'],hi,1.906,Margarita with a Straw,7.1,37
15023,['Drama'],fr,2.85,Marie's Story,7.4,46
5605,['Documentary'],en,5.743,Marina Abramović: The Artist Is Present,7.6,70
5495,"['Music', 'Documentary']",en,6.86,Marley,7.6,149
24062,"['Drama', 'Horror', 'Thriller', 'Mystery']",en,12.293,Marrowbone,7.1,480
24341,['Drama'],en,7.879,Marshall,7.3,257
11378,['Thriller'],es,7.334,Marshland,7.1,466
2650,"['Science Fiction', 'Fantasy']",en,9.538,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,7.2,154
7957,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",en,13.078,Marvel One-Shot: Agent Carter,7.6,341
11295,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Thriller']",en,8.038,Marvel One-Shot: All Hail the King,7.0,198
11723,"['Action', 'Drama', 'History']",hi,4.077,Mary Kom,7.2,49
24094,"['Drama', 'Romance']",en,11.487,Mary Shelley,7.1,388
20973,"['Fantasy', 'Adventure', 'Animation']",ja,8.478,Mary and the Witch's Flower,7.1,336
5459,['Drama'],ko,7.188,Masquerade,7.8,62
21379,"['Crime', 'Action']",ko,4.579,Master,7.1,33
17748,"['Drama', 'History', 'Romance']",en,7.658,Maudie,7.7,125
367,"['Drama', 'History', 'War']",no,6.23,Max Manus: Man of War,7.1,114
23875,"['Action', 'Science Fiction']",en,23.166,Maze Runner: The Death Cure,7.0,3894
14426,['Drama'],en,8.197,"McFarland, USA",7.3,358
24713,['Documentary'],en,5.152,McQueen,8.2,42
17431,"['Drama', 'Romance']",en,16.917,Me Before You,7.7,5939
14395,"['Comedy', 'Drama']",en,8.677,Me and Earl and the Dying Girl,7.6,1570
5920,['Documentary'],en,2.578,Mea Maxima Culpa: Silence in the House of God,7.7,38
20872,"['Drama', 'War']",en,9.839,Megan Leavey,7.1,378
2592,"['Drama', 'Science Fiction']",da,11.123,Melancholia,7.1,1642
21201,"['Thriller', 'Action', 'Crime']",ko,6.338,Memoir of a Murderer,7.4,58
11980,['Documentary'],en,2.45,Merchants of Doubt,7.7,50
14420,"['Adventure', 'Documentary']",en,8.237,Meru,7.6,117
230,"['Drama', 'Action', 'Thriller', 'Crime']",fr,8.131,Mesrine: Killer Instinct,7.4,434
263,"['Action', 'Thriller', 'Crime', 'Drama']",fr,7.7,Mesrine: Public Enemy #1,7.4,404
8261,"['Crime', 'Thriller', 'Drama', 'Action']",tl,6.523,Metro Manila,7.5,77
18219,['Comedy'],en,3.279,Michael Che Matters,7.2,32
18202,"['Music', 'Documentary']",en,3.388,Michael Jackson's Journey from Motown to Off the Wall,7.3,44
23968,"['Comedy', 'Drama']",en,15.753,Mid90s,7.5,301
17678,"['Family', 'Comedy']",en,8.479,Middle School: The Worst Years of My Life,7.0,190
23924,"['Romance', 'Drama']",en,17.721,Midnight Sun,7.7,1608
2539,"['Fantasy', 'Comedy', 'Romance']",en,13.171,Midnight in Paris,7.5,3965
8507,"['Drama', 'Comedy']",en,4.11,Mike Birbiglia: My Girlfriend's Boyfriend,7.9,36
21600,['Comedy'],en,2.839,Mike Birbiglia: Thank God for Jokes,7.7,33
24353,['Documentary'],en,7.803,Minding the Gap,7.9,51
8243,"['Adventure', 'Animation', 'Comedy', 'Family', 'Science Fiction']",en,6.758,Minions: Training Wheels,7.2,104
17571,['Drama'],en,10.078,Miracles from Heaven,7.1,478
23931,"['Science Fiction', 'Thriller', 'Drama', 'Romance']",es,17.172,Mirage,7.6,452
24247,"['Animation', 'Fantasy', 'Adventure', 'Family']",ja,8.976,Mirai,7.4,165
3127,['Documentary'],en,3.479,Miss Representation,7.7,45
20764,"['Drama', 'Thriller']",en,12.215,Miss Sloane,7.4,912
14487,"['Comedy', 'Drama']",en,7.535,Miss You Already,7.4,414
23844,['Action'],en,29.69,Mission: Impossible - Fallout,7.3,3811
2483,"['Action', 'Thriller', 'Adventure']",en,18.304,Mission: Impossible - Ghost Protocol,7.0,6102
14197,['Action'],en,20.177,Mission: Impossible - Rogue Nation,7.1,5242
13515,"['Documentary', 'Music']",en,0.6,Mistaken for Strangers,7.1,34
18108,"['Adventure', 'Comedy', 'Family', 'Animation']",en,4.419,Moana,7.5,6907
20715,"['Crime', 'Drama']",en,14.64,Molly's Game,7.1,1724
11142,['Drama'],en,11.095,Mommy,8.3,1399
21246,"['Crime', 'Documentary']",en,5.893,Mommy Dead and Dearest,7.3,85
2505,['Drama'],en,15.393,Moneyball,7.1,2255
11672,['Animation'],en,4.575,Monster High: Freaky Fusion,7.2,32
7892,"['Animation', 'Family']",en,20.33,Monsters University,7.0,6362
12178,['Comedy'],en,1.898,Monty Python Live (Mostly),7.1,32
20691,['Drama'],en,15.948,Moonlight,7.4,3893
5236,"['Comedy', 'Drama', 'Romance']",en,14.086,Moonrise Kingdom,7.7,3023
8740,['Documentary'],en,2.512,More Than Honey,7.3,48
596,"['Action', 'Fantasy']",en,3.121,Mortal Kombat: Rebirth,7.2,52
17804,['Drama'],en,7.125,Mr. Church,7.2,244
2491,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']",en,17.242,Mr. Nobody,7.9,3279
14776,"['Crime', 'Action', 'Drama']",zh,5.131,Mr. Six,7.1,45
8328,['Comedy'],en,5.952,Much Ado About Nothing,7.2,165
7966,['Drama'],en,12.507,Mud,7.0,1592
20947,['Drama'],en,8.855,Mudbound,7.6,590
20900,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",fr,9.43,Mune: Guardian of the Moon,7.0,241
14972,"['TV Movie', 'Mystery', 'Drama']",en,3.165,"Murder, She Baked: A Chocolate Chip Cookie Mystery",7.3,32
14490,['Drama'],tr,7.459,Mustang,8.0,755
17977,['Drama'],en,5.753,My All American,7.1,63
18633,['Documentary'],en,1.855,My Beautiful Broken Brain,7.3,37
24193,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Adventure']",ja,9.713,My Hero Academia: Two Heroes,8.3,134
21017,"['Animation', 'Drama', 'Family']",fr,8.039,My Life as a Zucchini,7.8,591
272,"['Drama', 'Romance']",hi,7.619,My Name Is Khan,7.8,409
23865,"['Fantasy', 'Animation', 'Family']",ja,25.068,My Neighbor Totoro,8.1,3267
5574,"['Drama', 'Action', 'History', 'War']",ko,6.001,My Way,7.6,113
3052,"['Mystery', 'Drama']",pt,4.249,Mysteries of Lisbon,7.0,38
14984,"['Crime', 'Action', 'Drama', 'Horror', 'Thriller']",hi,3.099,NH10,7.0,39
24073,"['Comedy', 'Romance']",en,12.057,Nappily Ever After,7.3,549
8689,"['Crime', 'Documentary']",en,2.751,Narco Cultura,7.0,37
12072,"['Documentary', 'Music']",en,2.193,Nas: Time Is Illmatic,7.3,38
8041,"['Drama', 'Adventure']",en,9.521,Nebraska,7.4,967
17464,"['Mystery', 'Adventure', 'Crime']",en,14.508,Nerve,7.1,4590
491,['Documentary'],en,4.197,Never Sleep Again: The Elm Street Legacy,8.2,63
8113,['Thriller'],ko,8.048,New World,7.4,182
21369,"['Comedy', 'Drama']",hi,4.702,Newton,7.0,54
24152,"['Action', 'Adventure', 'Animation', 'Family']",en,10.256,Next Gen,7.0,268
24916,['Drama'],it,3.789,"Nico, 1988",7.3,40
21010,"['Comedy', 'Romance', 'Animation']",ja,8.075,"Night Is Short, Walk on Girl",8.1,46
12025,['Documentary'],en,2.318,Night Will Fall,7.7,37
11039,"['Crime', 'Drama', 'Thriller']",en,25.597,Nightcrawler,7.7,5860
8174,"['Drama', 'History']",es,7.436,No,7.2,211
20926,"['Fantasy', 'Comedy', 'Animation']",ja,9.149,No Game No Life: Zero,7.5,91
8462,['Documentary'],en,4.641,No Half Measures: Creating the Final Season of Breaking Bad,8.6,68
11510,"['Action', 'Thriller']",ko,6.259,No Tears for the Dead,7.0,88
17709,['Comedy'],es,8.092,No manches Frida,7.3,144
20689,"['Drama', 'Thriller']",en,16.19,Nocturnal Animals,7.4,4192
2787,"['Drama', 'Romance']",nl,7.502,North Sea Texas,7.2,108
3139,['Documentary'],es,3.401,Nostalgia for the Light,7.8,58
21683,"['Drama', 'Fantasy', 'Horror', 'Romance']",et,2.519,November,7.6,38
7909,"['Thriller', 'Crime']",en,16.646,Now You See Me,7.4,9871
307,['Drama'],en,7.099,Nowhere Boy,7.3,469
17819,['Documentary'],en,6.939,O.J. Made in America,8.5,115
279,"['Documentary', 'Family']",en,7.532,Oceans,7.2,167
11610,['Drama'],ko,5.323,Ode to My Father,7.1,38
11828,"['Drama', 'Romance', 'Comedy']",is,3.055,Of Horses and Men,7.0,34
24962,"['Comedy', 'Drama']",ja,3.554,Oh Lucy!,7.1,39
21959,['Comedy'],en,1.828,"Oh, Hello: On Broadway",7.1,35
20822,"['Adventure', 'Drama', 'Science Fiction', 'Action']",en,10.805,Okja,7.5,2146
13508,"['Thriller', 'Drama', 'Romance']",ar,0.6,Omar,7.2,86
24231,['Drama'],it,9.161,On My Skin,8.2,1078
23833,"['Drama', 'History']",en,32.624,On the Basis of Sex,7.4,225
23909,"['Comedy', 'Action']",en,19.428,Once Upon a Deadpool,7.0,238
5201,"['Drama', 'Crime']",en,17.717,Once Upon a Time in America,8.4,2243
2618,"['Drama', 'Romance']",en,10.308,One Day,7.2,2105
8065,"['Documentary', 'Music']",en,9.005,One Direction: This Is Us,8.1,370
11571,"['Documentary', 'Music']",en,5.769,One Direction: Where We Are - The Concert,8.4,108
8603,"['Family', 'Documentary']",en,3.199,One Life,7.6,32
18404,"['Documentary', 'Music']",en,2.409,One More Time with Feeling,8.5,43
24747,"['Animation', 'Adventure', 'Family', 'Fantasy']",en,4.895,One Small Step,7.9,54
22039,['Documentary'],en,1.668,One of Us,7.2,38
11167,"['Drama', 'Romance']",en,10.259,Only Lovers Left Alive,7.4,1055
20725,['Drama'],en,14.163,Only the Brave,7.0,603
3247,['Drama'],en,2.726,Oranges and Sunshine,7.2,43
5521,['Drama'],no,6.485,"Oslo, August 31st",7.5,129
17561,"['Drama', 'Comedy']",ja,10.151,Our Little Sister,7.5,166
14756,"['Romance', 'Comedy']",zh,5.308,Our Times,7.8,67
8528,"['Drama', 'Romance']",he,3.934,Out in the Dark,7.1,57
11302,['Action'],ja,8.016,Outrage Beyond,7.1,93
18697,"['Animation', 'Science Fiction', 'Action', 'Adventure']",en,1.697,Overwatch Animated Short: Dragons,7.9,36
18443,"['Action', 'Animation', 'Science Fiction']",en,2.286,Overwatch Animated Short: The Last Bastion,8.0,31
982,"['Drama', 'Comedy']",hi,1.658,PEEPLI [Live],7.6,31
11305,"['Comedy', 'Drama']",hi,7.993,PK,7.8,438
5764,"['Crime', 'Drama']",hi,3.605,Paan Singh Tomar,7.5,48
14253,"['Comedy', 'Adventure', 'Family']",en,13.565,Paddington,7.0,1904
23982,"['Adventure', 'Comedy', 'Family']",en,15.027,Paddington 2,7.5,887
17585,"['Romance', 'Drama', 'Adventure']",es,9.858,Palm Trees in the Snow,7.5,236
5423,"['Animation', 'Family', 'Romance']",en,7.606,Paperman,8.1,1125
23989,"['Drama', 'History', 'Crime']",en,14.656,Papillon,7.4,645
2952,['Documentary'],en,5.493,Paradise Lost 3: Purgatory,7.7,65
8480,['Drama'],de,4.427,Paradise: Faith,7.0,44
18115,['Drama'],hi,4.312,Parched,7.9,37
2940,['Drama'],en,5.625,Pariah,7.0,57
8350,['Documentary'],en,5.733,Particle Fever,7.1,142
5280,"['Animation', 'Comedy', 'Family', 'Fantasy']",en,11.326,Partysaurus Rex,7.2,164
17610,"['Comedy', 'Drama', 'Romance']",en,9.486,Paterson,7.1,736
21155,['Drama'],en,6.934,Patti Cake$,7.0,122
21489,['Comedy'],en,3.472,Patton Oswalt: Annihilation,7.2,33
24076,['History'],en,12.005,"Paul, Apostle of Christ",7.1,98
3175,"['Documentary', 'Music']",en,3.125,Pearl Jam: Twenty,8.2,52
8100,"['Comedy', 'Romance']",th,8.31,Pee Mak Phrakanong,7.3,54
17562,['Drama'],en,10.148,Pelé: Birth of a Legend,7.2,446
17594,"['Comedy', 'Drama']",it,9.731,Perfect Strangers,7.9,2479
24285,['Documentary'],en,8.438,Period. End of Sentence.,8.1,111
24022,['Drama'],sv,13.342,Persona,8.3,726
20706,"['Drama', 'Romance']",en,15.269,Phantom Thread,7.2,1617
8068,['Drama'],en,8.978,Philomena,7.4,945
8325,['Drama'],ko,6.013,Pieta,7.1,144
2826,['Documentary'],de,7.086,Pina,7.4,115
17565,"['Family', 'Animation']",en,10.131,Piper,8.2,866
5239,"['Comedy', 'Music', 'Romance']",en,13.886,Pitch Perfect,7.3,4233
801,['Science Fiction'],en,2.172,Pixels,7.1,35
437,"['Comedy', 'Drama', 'Romance']",es,5.164,Plan B,7.2,45
2816,['Drama'],ko,7.202,Poetry,7.6,94
2768,['Drama'],fr,7.682,Polisse,7.8,670
14282,"['Adventure', 'Animation', 'Fantasy']",ja,11.588,Pom Poko,7.1,368
3159,"['Action', 'Science Fiction']",en,3.233,Portal: No Escape,7.1,52
14588,"['Action', 'Adventure', 'Science Fiction']",en,6.602,Power/Rangers,7.2,146
286,"['Drama', 'History', 'TV Movie']",en,7.372,Prayers for Bobby,7.9,220
14252,"['Science Fiction', 'Thriller']",en,13.625,Predestination,7.4,3332
11232,"['Drama', 'Comedy']",en,8.864,Pride,7.9,743
7938,"['Drama', 'Thriller', 'Crime']",en,14.358,Prisoners,8.0,5785
358,"['Family', 'Animation']",ja,6.308,Professor Layton and the Eternal Diva,7.7,78
20843,"['Drama', 'Romance']",en,10.309,Professor Marston and the Wonder Women,7.3,364
21013,"['Comedy', 'Crime', 'Mystery', 'TV Movie']",en,8.061,Psych: The Movie,7.3,67
17885,"['Science Fiction', 'Animation', 'Action']",ja,6.495,Psycho-Pass: The Movie,7.2,81
11613,"['Thriller', 'Animation', 'Fantasy']",ja,5.301,Puella Magi Madoka Magica the Movie Part I: Beginnings,7.6,55
17896,"['Thriller', 'Animation', 'Fantasy']",ja,6.393,Puella Magi Madoka Magica the Movie Part II: Eternal,8.0,53
8212,"['Mystery', 'Animation', 'Fantasy']",ja,7.05,Puella Magi Madoka Magica the Movie Part III: Rebellion,7.6,78
8282,"['Animation', 'Comedy', 'Family', 'Science Fiction']",en,6.363,Puppy,7.3,138
11588,"['Comedy', 'Drama']",hi,5.523,Queen,7.4,122
17757,['Drama'],en,7.564,Queen of Katwe,7.1,225
3402,"['Documentary', 'Music']",en,2.144,Queen: Days of Our Lives,7.9,38
24644,"['Documentary', 'Music', 'History']",en,5.571,Quincy,8.0,34
24131,['Documentary'],en,10.643,RBG,7.8,121
543,['Drama'],en,3.549,RSC Live: Hamlet,7.7,37
17665,"['Action', 'Drama']",en,8.705,Race,7.2,910
14667,"['Adventure', 'Documentary']",en,5.998,Racing Extinction,8.0,80
15506,['Documentary'],en,1.459,Raiders!: The Story of the Greatest Fan Film Ever Made,7.2,31
21137,"['Action', 'Science Fiction', 'Horror']",en,7.017,Rakka,7.1,89
23815,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure']",en,48.057,Ralph Breaks the Internet,7.2,2626
18015,"['Thriller', 'Crime']",hi,5.41,Raman Raghav 2.0,7.3,51
17808,['Drama'],is,7.101,Rams,7.2,115
14297,"['Action', 'Drama', 'History']",ja,10.885,Ran,8.1,600
17526,"['Drama', 'Horror']",fr,11.437,Raw,7.1,1449
23840,"['Adventure', 'Science Fiction']",en,30.029,Ready Player One,7.6,7021
8176,"['Drama', 'Comedy']",it,7.412,Reality,7.2,128
